stop_id,ZDEr_ID_REF_A
StopPoint:10:614,21736
StopPoint:10:615,21737
StopPoint:10:618,18203
StopPoint:10:65,3748
StopPoint:10:66,3749
StopPoint:10:67,10382
StopPoint:10:68,3750
StopPoint:10:69,10383
StopPoint:10:7,3717
StopPoint:10:70,3751
StopPoint:10:71,8477
StopPoint:10:72,3752
StopPoint:10:73,413654
StopPoint:10:76,21685
StopPoint:10:78,3754
StopPoint:10:79,10300
StopPoint:10:8,3718
StopPoint:10:80,3755
StopPoint:10:81,3756
StopPoint:10:82,10384
StopPoint:10:83,10385
StopPoint:10:84,9504
StopPoint:10:85,3758
StopPoint:10:88,3760
StopPoint:10:89,3761
StopPoint:10:9,3719
StopPoint:10:90,3762
StopPoint:10:91,3763
StopPoint:10:92,3764
StopPoint:10:99,3767
StopPoint:11:1,14508
StopPoint:11:10,14517
StopPoint:11:100,14605
StopPoint:11:101,14606
StopPoint:11:102,14607
StopPoint:11:103,14608
StopPoint:11:104,14609
StopPoint:11:105,14610
StopPoint:11:106,14611
StopPoint:11:107,14612
StopPoint:11:108,14613
StopPoint:11:11,14518
StopPoint:11:110,14615
StopPoint:11:111,14616
StopPoint:11:112,38008
StopPoint:11:113,14618
StopPoint:11:114,14619
StopPoint:11:115,14620
StopPoint:11:116,423568
StopPoint:11:117,38006
StopPoint:11:118,14623
StopPoint:11:119,14624
StopPoint:11:12,14519
StopPoint:11:120,14625
StopPoint:11:121,14626
StopPoint:11:122,14627
StopPoint:11:123,14628
StopPoint:11:124,14629
StopPoint:11:126,14631
StopPoint:11:128,14633
StopPoint:11:13,14520
StopPoint:11:131,14635
StopPoint:11:132,14636
StopPoint:11:135,14637
StopPoint:11:136,14638
StopPoint:11:137,14639
StopPoint:11:138,14640
StopPoint:11:139,14641
StopPoint:11:14,14521
StopPoint:11:140,14642
StopPoint:11:143,14644
StopPoint:11:144,14645
StopPoint:11:147,14648
StopPoint:11:148,14649
StopPoint:11:149,14650
StopPoint:11:15,14522
StopPoint:11:151,14651
StopPoint:11:16,14523
StopPoint:11:165,40619
StopPoint:11:17,14524
StopPoint:11:18,14525
StopPoint:11:183,14661
StopPoint:11:184,14662
StopPoint:11:188,14663
StopPoint:11:19,14526
StopPoint:11:190,14664
StopPoint:11:191,14665
StopPoint:11:192,14666
StopPoint:11:197,16937
StopPoint:11:2,14509
StopPoint:11:20,14527
StopPoint:11:200,22271
StopPoint:11:201,22272
StopPoint:11:202,22273
StopPoint:11:203,22274
StopPoint:11:204,22275
StopPoint:11:205,22276
StopPoint:11:206,22277
StopPoint:11:209,22280
StopPoint:11:21,14528
StopPoint:11:210,22428
StopPoint:11:213,424887
StopPoint:11:214,424888
StopPoint:11:219,426030
StopPoint:11:22,14529
StopPoint:11:220,426031
StopPoint:11:222,426034
StopPoint:11:223,426032
StopPoint:11:224,39016
StopPoint:11:225,18828
StopPoint:11:226,18848
StopPoint:11:227,18833
StopPoint:11:228,19116
StopPoint:11:229,19095
StopPoint:11:23,14530
StopPoint:11:230,19334
StopPoint:11:231,19521
StopPoint:11:232,18873
StopPoint:11:233,19556
StopPoint:11:234,19448
StopPoint:11:235,18921
StopPoint:11:236,19250
StopPoint:11:237,19005
StopPoint:11:238,19261
StopPoint:11:239,19624
StopPoint:11:24,14531
StopPoint:11:240,426049
StopPoint:11:241,426039
StopPoint:11:242,426036
StopPoint:11:243,426037
StopPoint:11:244,426051
StopPoint:11:245,426050
StopPoint:11:246,426033
StopPoint:11:247,426035
StopPoint:11:248,426026
StopPoint:11:249,426024
StopPoint:11:25,16936
StopPoint:11:250,426029
StopPoint:11:251,426027
StopPoint:11:252,426042
StopPoint:11:253,426041
StopPoint:11:254,426040
StopPoint:11:255,426865
StopPoint:11:256,426864
StopPoint:11:257,419500
StopPoint:11:258,419499
StopPoint:11:259,426863
StopPoint:11:26,14532
StopPoint:11:260,426862
StopPoint:11:27,14533
StopPoint:11:28,14534
StopPoint:11:29,14535
StopPoint:11:3,14510
StopPoint:11:30,14536
StopPoint:11:31,14537
StopPoint:11:32,14538
StopPoint:11:33,14539
StopPoint:11:34,14540
StopPoint:11:35,14541
StopPoint:11:36,14542
StopPoint:11:37,14543
StopPoint:11:38,14544
StopPoint:11:4,14511
StopPoint:11:42,14548
StopPoint:11:44,14550
StopPoint:11:45,14551
StopPoint:11:46,14552
StopPoint:11:48,14554
StopPoint:11:49,14555
StopPoint:11:5,14512
StopPoint:11:50,14556
StopPoint:11:51,37999
StopPoint:11:52,423612
StopPoint:11:53,14559
StopPoint:11:54,14560
StopPoint:11:55,14561
StopPoint:11:56,14562
StopPoint:11:57,14563
StopPoint:11:58,14564
StopPoint:11:59,14565
StopPoint:11:6,14513
StopPoint:11:63,14568
StopPoint:11:64,14569
StopPoint:11:65,14570
StopPoint:11:66,14571
StopPoint:11:67,14572
StopPoint:11:68,14573
StopPoint:11:69,14574
StopPoint:11:7,14514
StopPoint:11:70,14575
StopPoint:11:71,14576
StopPoint:11:72,14577
StopPoint:11:74,14579
StopPoint:11:75,14580
StopPoint:11:76,14581
StopPoint:11:77,38000
StopPoint:11:78,14583
StopPoint:11:79,14584
StopPoint:11:8,14515
StopPoint:11:84,14589
StopPoint:11:85,14590
StopPoint:11:86,14591
StopPoint:11:9,14516
StopPoint:11:91,14596
StopPoint:11:92,14597
StopPoint:11:93,14598
StopPoint:11:98,14603
StopPoint:11:99,14604
StopPoint:12:3001,15772
StopPoint:12:3002,15773
StopPoint:12:3003,15774
StopPoint:12:3007,15776
StopPoint:12:3008,15777
StopPoint:12:3009,15778
StopPoint:12:3010,15779
StopPoint:12:3013,15780
StopPoint:12:3014,15781
StopPoint:12:3015,15782
StopPoint:12:3017,15783
StopPoint:12:3018,9855
StopPoint:12:3019,15785
StopPoint:12:3020,15786
StopPoint:12:3021,15788
StopPoint:12:3022,15788
StopPoint:12:3025,15789
StopPoint:12:3026,15790
StopPoint:12:3027,15791
StopPoint:12:3028,15792
StopPoint:12:3029,15793
StopPoint:12:3030,15794
StopPoint:12:3033,15795
StopPoint:12:3034,15796
StopPoint:12:3035,15797
StopPoint:12:3036,15798
StopPoint:12:3037,15799
StopPoint:12:3038,37697
StopPoint:12:3040,15801
StopPoint:12:3042,15802
StopPoint:12:3043,15803
StopPoint:12:3044,15804
StopPoint:12:3050,15805
StopPoint:12:3051,15806
StopPoint:12:3052,15807
StopPoint:12:3053,15808
StopPoint:12:3054,15809
StopPoint:12:3055,15810
StopPoint:12:3056,15811
StopPoint:12:3058,15812
StopPoint:12:3059,15813
StopPoint:12:3061,15814
StopPoint:12:3062,15815
StopPoint:12:3063,15816
StopPoint:12:3064,15817
StopPoint:12:3065,15818
StopPoint:12:3066,15819
StopPoint:12:3067,15820
StopPoint:12:3068,15821
StopPoint:12:3070,15822
StopPoint:12:3071,15823
StopPoint:12:3072,15824
StopPoint:12:3073,15825
StopPoint:12:3074,15826
StopPoint:12:3075,41889
StopPoint:12:3076,41890
StopPoint:12:3078,15827
StopPoint:12:3080,15828
StopPoint:12:3081,9723
StopPoint:12:3082,425301
StopPoint:12:3083,15831
StopPoint:12:3084,15832
StopPoint:12:3085,15833
StopPoint:12:3086,15834
StopPoint:12:3087,15835
StopPoint:12:3088,15836
StopPoint:12:3091,15837
StopPoint:12:3092,15838
StopPoint:12:3093,15839
StopPoint:12:3094,15840
StopPoint:12:3095,15841
StopPoint:12:3096,15842
StopPoint:12:3105,15845
StopPoint:12:3106,15846
StopPoint:12:3107,7167
StopPoint:12:3108,9731
StopPoint:12:3111,15849
StopPoint:12:3112,15850
StopPoint:12:3113,15851
StopPoint:12:3115,15852
StopPoint:12:3116,15853
StopPoint:12:3117,15854
StopPoint:12:3118,15855
StopPoint:12:3120,15856
StopPoint:12:3123,15857
StopPoint:12:3124,15858
StopPoint:12:3125,15859
StopPoint:12:3126,15860
StopPoint:12:3127,15861
StopPoint:12:3128,15862
StopPoint:12:3135,15863
StopPoint:12:3136,15864
StopPoint:12:3141,15865
StopPoint:12:3142,15866
StopPoint:12:3143,15867
StopPoint:12:3145,15869
StopPoint:12:3146,15869
StopPoint:12:3147,15871
StopPoint:12:3148,15871
StopPoint:12:3153,15872
StopPoint:12:3154,15873
StopPoint:12:3155,15874
StopPoint:12:3156,15875
StopPoint:12:3158,15876
StopPoint:12:3159,15877
StopPoint:12:3161,15878
StopPoint:12:3162,15879
StopPoint:12:3163,15880
StopPoint:12:3164,15881
StopPoint:12:3165,15882
StopPoint:12:3166,15883
StopPoint:12:3169,15884
StopPoint:12:3170,15885
StopPoint:12:3171,15886
StopPoint:12:3173,15887
StopPoint:12:3174,15888
StopPoint:12:3176,15889
StopPoint:12:3177,15890
StopPoint:12:3178,15891
StopPoint:12:3183,15893
StopPoint:12:3184,15894
StopPoint:12:3187,15896
StopPoint:12:3188,15897
StopPoint:12:3191,15898
StopPoint:12:3193,15899
StopPoint:12:3194,15900
StopPoint:12:3195,15901
StopPoint:12:3196,15902
StopPoint:12:3197,15903
StopPoint:12:3201,15904
StopPoint:12:3202,15905
StopPoint:12:3203,15906
StopPoint:12:3204,15907
StopPoint:12:3205,15908
StopPoint:12:3206,15909
StopPoint:12:3207,15910
StopPoint:12:3208,15911
StopPoint:12:3209,15912
StopPoint:12:3211,15913
StopPoint:12:3216,15916
StopPoint:12:3217,15917
StopPoint:12:3218,15918
StopPoint:12:3220,15919
StopPoint:12:3221,15920
StopPoint:12:3227,15921
StopPoint:12:3233,15923
StopPoint:12:3234,15924
StopPoint:12:3235,15925
StopPoint:12:3236,15926
StopPoint:12:3237,15927
StopPoint:12:3238,15928
StopPoint:12:3241,15930
StopPoint:12:3242,15931
StopPoint:12:3243,15932
StopPoint:12:3244,15933
StopPoint:12:3245,15934
StopPoint:12:3246,15935
StopPoint:12:3248,15936
StopPoint:12:3251,15938
StopPoint:12:3252,15939
StopPoint:12:3253,15940
StopPoint:12:3254,15941
StopPoint:12:3261,15942
StopPoint:12:3262,15943
StopPoint:12:3263,15944
StopPoint:12:3264,15944
StopPoint:12:3269,21676
StopPoint:12:3273,33788
StopPoint:12:3274,33789
StopPoint:12:3276,15948
StopPoint:12:3277,15949
StopPoint:12:3278,15950
StopPoint:12:3282,15952
StopPoint:12:3285,15953
StopPoint:12:3286,15954
StopPoint:12:3291,15957
StopPoint:12:3292,15958
StopPoint:12:3293,15959
StopPoint:12:3294,15960
StopPoint:12:3295,15961
StopPoint:12:3301,15962
StopPoint:12:3302,15963
StopPoint:12:3303,15964
StopPoint:12:3304,15965
StopPoint:12:3305,15966
StopPoint:12:3306,15967
StopPoint:12:3307,15968
StopPoint:12:3308,15968
StopPoint:12:3311,15970
StopPoint:12:3312,15971
StopPoint:12:3313,30678
StopPoint:12:3314,30679
StopPoint:12:3315,15974
StopPoint:12:3316,15975
StopPoint:12:3323,15976
StopPoint:12:3324,15977
StopPoint:12:3327,15980
StopPoint:12:3328,15981
StopPoint:12:3335,15984
StopPoint:12:3336,15985
StopPoint:12:3337,15986
StopPoint:12:3338,15987
StopPoint:12:3341,15988
StopPoint:12:3342,15989
StopPoint:12:3345,15990
StopPoint:12:3346,15991
StopPoint:12:3347,15993
StopPoint:12:3348,15993
StopPoint:12:3351,15994
StopPoint:12:3352,425062
StopPoint:12:3353,33681
StopPoint:12:3354,33682
StopPoint:12:3355,15998
StopPoint:12:3356,15999
StopPoint:12:3357,16001
StopPoint:12:3358,425061
StopPoint:12:3365,426391
StopPoint:12:3366,16004
StopPoint:12:3367,16005
StopPoint:12:3368,16006
StopPoint:12:3371,33978
StopPoint:12:3372,16008
StopPoint:12:3374,16010
StopPoint:12:3375,16011
StopPoint:12:3376,16012
StopPoint:12:3377,16013
StopPoint:12:3378,16014
StopPoint:12:3381,16015
StopPoint:12:3382,33750
StopPoint:12:3383,16017
StopPoint:12:3384,16017
StopPoint:12:3385,16019
