@oname,@id,@lat,@lon,name,ref:FR:STIF
node,574874400,48.8960382,2.4609174,Noisy-le-Sec — RER,27545
node,582751410,48.8870494,2.2523477,Pont de Neuilly Rive Gauche,24260
node,583527831,48.9597871,2.3411152,Université - Tramway,413299
node,589397548,48.8756031,2.3951576,Pixérécourt,36678
node,589397552,48.8755800,2.3949365,Pixérécourt,36687
node,594054657,48.8440363,2.3549671,Cuvier - Jardin des Plantes,37364
node,594054677,48.8438133,2.3548007,Cuvier - Jardin des Plantes,28022
node,594054683,48.8464046,2.3543693,Jussieu,28018
node,594054715,48.8361988,2.3588368,Jenner - Jeanne D'Arc,22830
node,594054719,48.8361684,2.3591102,Jenner - Jeanne d'Arc,22830
node,594054730,48.8387053,2.3570294,Saint-Marcel - Jeanne d'Arc,28011
node,594054737,48.8381468,2.3563896,Saint-Marcel - Jeanne d'Arc,26745
node,596083022,48.8912294,2.3180451,Brochant - Cardinet,22810
node,596084024,48.8894494,2.3163819,Parc Martin Luther King,40838
node,596084636,48.8876223,2.3144223,Pont Cardinet,36273
node,597264735,48.8834896,2.3279960,Place de Clichy,19734
node,597269902,48.8889967,2.3160738,Parc Martin Luther King,40841
node,597269958,48.8912420,2.3182656,Brochant - Cardinet,22811
node,597271655,48.8878021,2.3255557,La Fourche,8419
node,597413289,48.8858682,2.3090110,Jouffroy d'Abbans - Tocqueville,25086
node,597413356,48.8848492,2.3064953,Jouffroy d'Abbans - Malesherbes,22812
node,597413601,48.8813537,2.3003856,Wagram – Courcelles,39721
node,597413631,48.8775401,2.2986435,Ternes,28990
node,597414618,48.8704345,2.3060391,La Boétie - Champs-Élysées,34162
node,599513776,48.8577397,2.3545629,La Verrerie,24841
node,599796544,48.8929390,2.3267730,Guy Môquet,26563
node,599796547,48.8931223,2.3281296,Guy Môquet,29001
node,599812701,48.8922272,2.3240507,Moines - Davy,26562
node,599812705,48.8921486,2.3230976,Moines - Davy,26566
node,603019611,48.8567210,2.7392625,Chanteloup Mairie,15435
node,603019627,48.8566363,2.7390157,Chanteloup Mairie,15434
node,605033457,48.8780205,2.2838377,Porte de Maillot - Palais des Congrès,422498
node,605152335,48.8854713,2.2591872,Pont de Neuilly,9406
node,605154896,48.8848387,2.2592983,Pont de Neuilly,7757
node,605168867,48.8824343,2.2682764,Rue de l'Hôtel de Ville,8321
node,605169930,48.8822669,2.2678572,Rue de L'Hôtel de Ville,8320
node,605176009,48.8812645,2.2720191,Les Sablons,7754
node,605185493,48.8798986,2.2762396,Marché,8323
node,605187739,48.8789264,2.2798471,Montrosier,8322
node,615215002,48.8511521,2.3437828,Cluny,26788
node,616253577,48.8348982,2.3047212,Brancion - Vouillé,23609
node,616255372,48.8354693,2.3059122,Brancion - Vouillé,23327
node,617751909,48.8374073,2.3460674,Port Royal - Berthollet,26746
node,617753178,48.8368846,2.3522809,Les Gobelins,26884
node,617815598,48.8341040,2.3538359,Banquier,25741
node,617854898,49.0177298,2.0530490,Le Stade,12358
node,617854901,49.0187476,2.0523647,Le Stade,12357
node,617854902,49.0148030,2.0573362,Le Pont,8806
node,617854903,49.0150841,2.0571829,Le Pont,8796
node,617854904,49.0223543,2.0553109,Île de Loisirs,8797
node,617854906,49.0227500,2.0562014,Île de Loisirs,8805
node,617854908,49.0302249,2.0697259,Brûloir Hautil,8804
node,617854911,49.0301662,2.0702731,Brûloir Hautil,8798
node,617854913,49.0317879,2.0736849,Conseil Départemental,8950
node,617854915,49.0318974,2.0750553,Conseil Départemental,10137
node,617854938,49.0336123,2.0806126,Les Plants,8949
node,617854939,49.0335513,2.0811546,Les Plants,10138
node,617911742,48.8224821,2.2845938,Place du Maréchal de Lattre de Tassigny,27735
node,617911744,48.8227141,2.2845360,Place du Maréchal de Lattre de Tassigny,27736
node,617912851,48.8269626,2.2788837,Corentin Celton,27730
node,617912852,48.8272307,2.2788938,Corentin Celton,37066
node,617913662,48.8280231,2.2728182,Victor Hugo,28640
node,617913664,48.8278253,2.2733643,Victor Hugo,37214
node,618688918,49.0071025,2.0331801,Denis Papin,9082
node,618688919,49.0075688,2.0332589,Denis Papin,9083
node,618688920,49.0086427,2.0355442,Les Forboeufs,8727
node,618688921,49.0088854,2.0343756,Les Forboeufs,8656
node,618688922,49.0102636,2.0282042,Les Merisiers,9084
node,618688923,49.0105666,2.0296159,Les Merisiers,9081
node,618688925,49.0112936,2.0304571,Le Noyer,5502
node,618688928,49.0104713,2.0317012,Le Noyer,8726
node,618688931,49.0119017,2.0433391,Les Éguérets,8794
node,618688934,49.0121907,2.0433593,Les Éguérets,8807
node,618688936,49.0108893,2.0458562,Les Jouannes,5498
node,618688939,49.0107159,2.0469802,Les Jouannes,8729
node,618688942,49.0111808,2.0509231,Vignes Blanches,8730
node,618688945,49.0111722,2.0494968,Vignes Blanches,8653
node,618688948,49.0119478,2.0527110,Croix Saint-Jacques,8652
node,618688951,49.0117587,2.0531185,Croix Saint-Jacques,8731
node,619157579,49.0129763,2.0279550,Les Tremblays,8725
node,619157585,49.0138543,2.0271994,Les Tremblays,8658
node,619157587,49.0204985,2.0215865,Les Valanchards,8724
node,619157589,49.0214461,2.0221963,Les Valanchards,8757
node,619157591,49.0244582,2.0223947,La Marnière,8758
node,619157594,49.0235370,2.0221292,La Marnière,8723
node,619157596,49.0227799,2.0272980,Mendès France,9056
