route_short_name,osm_transport_mode,agency_name
12,bus,Poissy Aval - Deux Rives de Seine
1,bus,Poissy Aval - Deux Rives de Seine
2,bus,Poissy Aval - Deux Rives de Seine
13,bus,Poissy Aval - Deux Rives de Seine
37,bus,Poissy Aval - Deux Rives de Seine
35,bus,Poissy Aval - Deux Rives de Seine
80,bus,Express 80 - Mantes-Cergy
39,bus,Poissy Aval - Deux Rives de Seine
31,bus,Poissy Aval - Deux Rives de Seine
30,bus,Poissy Aval - Deux Rives de Seine
33,bus,Poissy Aval - Deux Rives de Seine
32,bus,Poissy Aval - Deux Rives de Seine
21,bus,Mobicaps
20,bus,Mobicaps
2,bus,Mobicaps
3,bus,Mobicaps
23,bus,Mobicaps
22,bus,Mobicaps
15,bus,Mobicaps
14,bus,Mobicaps
1,bus,Mobicaps
19,bus,Mobicaps
18,bus,Mobicaps
16,bus,Mobicaps
S2,bus,Mobicaps
S15,bus,Mobicaps
S1,bus,Mobicaps
S9,bus,Mobicaps
S4,bus,Mobicaps
S3,bus,Mobicaps
6,bus,Mobicaps
5,bus,Mobicaps
4,bus,Mobicaps
9,bus,Mobicaps
8,bus,Mobicaps
7,bus,Mobicaps
91-04,bus,Albatrans
91-05,bus,Albatrans
91-03,bus,Albatrans
91-01,bus,Albatrans
91-02,bus,Albatrans
91-06,bus,Albatrans
91-10,bus,Albatrans
91-11,bus,Albatrans
91-09,bus,Albatrans
91-07,bus,Albatrans
91-08,bus,Albatrans
18,bus,Trans Val de France
17,bus,Trans Val de France
12,bus,Trans Val de France
19,bus,Trans Val de France
Express20,bus,Seine et Marne Express
9,bus,Trans Val de France
8,bus,Trans Val de France
184-006,bus,LES CARS BLEUS
184-008,bus,LES CARS BLEUS
184-013,bus,LES CARS BLEUS
184-005,bus,LES CARS BLEUS
184-001,bus,LES CARS BLEUS
184-003,bus,LES CARS BLEUS
184-004,bus,LES CARS BLEUS
284-004,bus,LES CARS BLEUS
284-006,bus,LES CARS BLEUS
284-007,bus,LES CARS BLEUS
284-003,bus,LES CARS BLEUS
184-014,bus,LES CARS BLEUS
284-001,bus,LES CARS BLEUS
284-002,bus,LES CARS BLEUS
4,bus,Apolo 7
4s,bus,Apolo 7
5,bus,Apolo 7
3s,bus,Apolo 7
1,bus,Apolo 7
2,bus,Apolo 7
3,bus,Apolo 7
8s,bus,Apolo 7
9,bus,Apolo 7
9s,bus,Apolo 7
8,bus,Apolo 7
6,bus,Apolo 7
7,bus,Apolo 7
7s,bus,Apolo 7
17,bus,Seine et Marne Express
20,bus,Yerres
24,bus,Yerres
14,bus,Yerres
12A,bus,TRAMY
12B,bus,TRAMY
12C,bus,TRAMY
28B,bus,Sol'R
28C,bus,Sol'R
29A,bus,TRAMY
28A,bus,Sol'R
25,bus,TRAMY
26,bus,TRAMY
27,bus,TRAMY
10,bus,TRAMY
02D,bus,TRAMY
02E,bus,TRAMY
02F,bus,TRAMY
02C,bus,TRAMY
01,bus,Seine et Marne Express
02A,bus,TRAMY
02B,bus,TRAMY
09B,bus,TRAMY
09C,bus,TRAMY
09M,bus,TRAMY
09A,bus,TRAMY
03A,bus,TRAMY
03B,bus,TRAMY
03C,bus,TRAMY
37RPI,bus,Yerres
38,bus,TRAMY
39,bus,TRAMY
37C,bus,Yerres
35D,bus,Yerres
37A,bus,Yerres
37B,bus,Yerres
A,bus,TRAMY
B,bus,TRAMY
D,bus,TRAMY
42,bus,TRAMY
40,bus,Pays Fertois
41A,bus,Pays Fertois
41B,bus,Pays Fertois
35C,bus,Yerres
30C,bus,Arlequin
31A,bus,TRAMY
31B,bus,TRAMY
30B,bus,Arlequin
29B,bus,TRAMY
29M,bus,TRAMY
30A,bus,Arlequin
34B,bus,Yerres
35A,bus,Yerres
35B,bus,Yerres
34A,bus,Yerres
31C,bus,TRAMY
32,bus,Yerres
33,bus,Sol'R
30-23,bus,ValBus
30-25,bus,LACROIX
30-22,bus,ValBus
30-21Est,bus,Parisis
30-21Oues,bus,Parisis
30-27,bus,LACROIX
30-32,bus,LACROIX
30-33,bus,LACROIX
30-31,bus,LACROIX
30-28,bus,LACROIX
30-29,bus,LACROIX
30-07,bus,Parisis
30-09,bus,Parisis
30-05,bus,Parisis
30-03,bus,ValBus
30-04,bus,LACROIX
30-10,bus,Parisis
30-14,bus,ValBus
30-18,bus,Parisis
30-13,bus,LACROIX
30-11,bus,ValBus
30-12,bus,Parisis
30-34,bus,LACROIX
95-19C,bus,Valoise
95-20,bus,Valoise
95-19B,bus,Valoise
95-03B,bus,Valoise
95-19A,bus,Valoise
95-21,bus,Valoise
CitéVal N,bus,LACROIX
CitéVal S,bus,LACROIX
CitéVal F,bus,LACROIX
95-26,bus,Busval d'Oise
CitéVal C,bus,LACROIX
30-39,bus,LACROIX
30-42,bus,LACROIX
30-38,bus,Parisis
30-36,bus,LACROIX
30-37,bus,ValBus
30-43,bus,ValBus
30-49,bus,Parisis
95-03A,bus,Valoise
30-48,bus,Parisis
30-46,bus,Parisis
30-47,bus,Parisis
42,bus,STAVO
43,bus,STAVO
40,bus,STAVO
41,bus,HOURTOULE
5,bus,HOURTOULE
50,bus,HOURTOULE
44,bus,STAVO
45,bus,STAVO
20,bus,HOURTOULE
111,bus,HOURTOULE
12,bus,HOURTOULE
10,bus,HOURTOULE
11,bus,HOURTOULE
17,bus,HOURTOULE
19,bus,HOURTOULE
14,bus,HOURTOULE
15,bus,HOURTOULE
JV,bus,HOURTOULE
M,bus,HOURTOULE
CSP,bus,HOURTOULE
FA,bus,STAVO
TG,bus,HOURTOULE
V,bus,HOURTOULE
P,bus,HOURTOULE
Q,bus,HOURTOULE
BL,bus,HOURTOULE
7,bus,HOURTOULE
78 EXPRES,bus,HOURTOULE
51,bus,STAVO
6,bus,HOURTOULE
AQ,bus,HOURTOULE
B,bus,HOURTOULE
8,bus,HOURTOULE
9,bus,HOURTOULE
205,bus,CEAT
206A,bus,CEAT
2,bus,Génovébus
116,bus,CEAT
15,bus,CEAT
223,bus,CEAT
224,bus,CEAT
222,bus,CEAT
206B,bus,CEAT
221,bus,CEAT
114,bus,CEAT
101,bus,CEAT
102,bus,CEAT
1001,bus,CEAT
1,bus,Génovébus
10,bus,SITUS
108,bus,CEAT
109,bus,CEAT
107,bus,CEAT
1025,bus,CEAT
104,bus,CEAT
7,bus,SITUS
8,bus,SITUS
4,bus,Génovébus
330,bus,CEAT
331,bus,CEAT
S4,bus,Génovébus
S5,bus,Génovébus
S3,bus,Génovébus
S1,bus,Génovébus
S2,bus,Génovébus
323,bus,CEAT
316,bus,CEAT
317,bus,CEAT
3,bus,Génovébus
225,bus,CEAT
226,bus,CEAT
